2015-11-16,Utah,81,San Diego St.,76
2015-11-16,Fresno St.,80,Lamar,72
2015-11-16,San Jose St.,64,Montana,61
2015-11-16,Pepperdine,91,San Diego Christian,49
2015-11-16,Southern California,101,Monmouth,90
2015-11-16,San Francisco,80,Rice,54
2015-11-16,UNLV,107,N.M. Highlands,45
2015-11-16,California,85,UC Santa Barbara,67
2015-11-16,Arizona St.,83,Belmont,74
2015-11-16,St. Mary&#039;s (CA),89,Manhattan,63
2015-11-16,Portland St.,105,Pacific Lutheran,60
2015-11-16,Oregon,74,Baylor,67
2015-11-17,Hawaii,76,Nevada,75
2015-11-17,East Tenn. St.,103,Green Bay,90
2015-11-17,UNI,70,Stephen F. Austin,60
2015-11-17,Rhode Island,55,Valparaiso,58
2015-11-17,Dayton,80,Alabama,48
2015-11-17,Auburn,84,Colorado,91
2015-11-17,Memphis,78,Oklahoma,84
2015-11-17,Penn St.,68,DePaul,62
2015-11-17,Citadel,94,Stetson,93
2015-11-17,Xavier,78,Missouri,66
2015-11-17,Norfolk St.,78,Washington Adventist,58
2015-11-17,St. Francis (NY),93,Mt. St. Vincent,67
2015-11-17,St. Francis (PA),103,Westminster (PA),72
2015-11-17,Northeastern,91,Wentworth,62
2015-11-17,UNC Greensboro,81,Chowan,60
2015-11-17,La Salle,73,Rider,60
2015-11-17,Marist,73,Dartmouth,63
2015-11-17,Miami (OH),68,Kenyon,47
2015-11-17,Ohio St.,82,Grambling,55
2015-11-17,Central Mich.,79,Alma,64
2015-11-17,UConn,85,New Hampshire,66
2015-11-17,Appalachian St.,70,Furman,79
2015-11-17,Liberty,59,William &amp; Mary,70
2015-11-17,Delaware St.,54,Penn,60
2015-11-17,Syracuse,79,St. Bonaventure,66
2015-11-17,Pittsburgh,84,St. Joseph&#039;s (IN),43
2015-11-17,Notre Dame,86,Milwaukee,78
2015-11-17,Northern Ky.,83,Tiffin,71
2015-11-17,Western Mich.,74,San Diego,62
2015-11-17,Fordham,76,Queens (NY),57
2015-11-17,Louisville,87,Hartford,52
2015-11-17,Fla. Atlantic,72,Warner Southern,75
2015-11-17,Winthrop,106,Truett-McConnell,78
2015-11-17,Harvard,63,Massachusetts,69
2015-11-17,Cleveland St.,62,Malone,46
2015-11-17,Louisiana Tech,80,Texas-Arlington,68
2015-11-17,VMI,88,Tusculum,76
2015-11-17,Duke,63,Kentucky,74
2015-11-17,Sam Houston St.,114,St. Thomas (MN),92
2015-11-17,Lipscomb,96,Oakland City,69
2015-11-17,American,48,Hampton,61
2015-11-17,Creighton,103,UTSA,78
2015-11-17,Wisconsin,78,North Dakota,64
2015-11-17,Southern Miss.,60,Jackson St.,78
2015-11-17,Evansville,84,Marian (Ind.),59
2015-11-17,McNeese St.,70,Louisiana Col.,73
2015-11-17,Western Ill.,84,Ill.-Chicago,57
2015-11-17,Tulsa,77,Wichita St.,67
2015-11-17,Murray St.,76,Middle Tenn.,65
2015-11-17,Neb. Omaha,95,UMKC,89
2015-11-17,Abilene Christian,70,Howard Payne,56
2015-11-17,Villanova,87,Nebraska,63
2015-11-17,Grand Canyon,88,Black Hills St.,72
2015-11-17,Maryland,75,Georgetown,71
2015-11-17,Utah St.,83,Adams St.,68
2015-11-17,Florida St.,98,Jacksonville,79
2015-11-17,Northern Colo.,85,Colo. Christian,70
2015-11-17,Bakersfield,68,Idaho,45
2015-11-17,Oregon St.,93,Iona,73
2015-11-17,Pacific,76,Cal St. Fullerton,77
2015-11-17,Michigan St.,79,Kansas,73
2015-11-18,Coppin St.,80,Goldey-Beacom,73
2015-11-18,Eastern Wash.,76,Seattle,70
2015-11-18,Cornell,76,Binghamton,59
2015-11-18,UALR,95,Centenary (LA),49
2015-11-18,Vermont,83,Quinnipiac,70
2015-11-18,Old Dominion,79,Morgan St.,48
2015-11-18,North Carolina,78,Wofford,58
2015-11-18,Virginia Tech,71,Jacksonville St.,62
2015-11-18,Drexel,66,High Point,75
2015-11-18,Saint Joseph&#039;s,89,Buffalo,67
2015-11-18,Radford,68,Catawba,60
2015-11-18,Purdue,96,Incarnate Word,61
2015-11-18,Bryant,82,Emerson,69
2015-11-18,UMBC,57,Loyola Maryland,76
2015-11-18,Youngstown St.,78,Toledo,100
2015-11-18,Fairleigh Dickinson,85,Army,96
2015-11-18,Belmont,90,Western Ky.,85
2015-11-18,Niagara,75,Brown,66
2015-11-18,North Carolina St.,79,IUPUI,56
2015-11-18,Savannah St.,76,Arkansas St.,75
2015-11-18,Bowling Green,50,Cincinnati,83
2015-11-18,Providence,60,Illinois,59
2015-11-18,Oakland,91,Eastern Mich.,81
2015-11-18,Elon,84,Belmont Abbey,57
2015-11-18,UCF,60,UC Irvine,61
2015-11-18,Florida A&amp;M,70,Thomas (GA),68
2015-11-18,Coastal Caro.,104,Grace Bible College,67
2015-11-18,UNC Asheville,84,Mars Hill,51
2015-11-18,Wake Forest,82,Richmond,91
2015-11-18,Robert Morris,76,Bucknell,81
2015-11-18,North Florida,98,Edward Waters,69
2015-11-18,Mass.-Lowell,87,Sacred Heart,84
2015-11-18,N.C. A&amp;T,87,Roanoke,94
2015-11-18,Presbyterian,116,Toccoa Falls,75
2015-11-18,Charleston So.,97,Johnson &amp; Wales (NC),65
2015-11-18,Austin Peay,77,IPFW,80
2015-11-18,Tennessee St.,72,Fisk,50
2015-11-18,Northwestern,79,Fairfield,72
2015-11-18,Valparaiso,78,Indiana-Kokomo,40
2015-11-18,North Dakota St.,69,Valley City St.,49
2015-11-18,Southern Ill.,72,Kent St.,69
2015-11-18,SIU Edwardsville,60,Saint Louis,70
2015-11-18,Houston,110,Prairie View,69
2015-11-18,Arkansas,80,Akron,88
2015-11-18,Southeastern La.,76,Mississippi Col.,69
2015-11-18,Chicago St.,105,Indiana-Northwest,64
2015-11-18,Arizona St.,91,Kennesaw St.,53
2015-11-18,Gonzaga,91,Northern Ariz.,52
2015-11-18,New Mexico,75,Loyola (IL),51
2015-11-18,Denver,75,Utah Valley,62
2015-11-18,Cal St. Northridge,72,Vanguard,52
2015-11-18,UC Davis,76,Fresno Pacific,46
2015-11-18,San Diego St.,71,San Diego Christian,61
2015-11-18,New Mexico St.,76,Tennessee Tech,63
2015-11-18,Cal Poly,71,Cal St. Monterey Bay,62
2015-11-18,UNLV,84,Southern Utah,64
2015-11-19,Minnesota,70,Temple,75
2015-11-19,George Mason,68,Ole Miss,62
2015-11-19,Missouri St.,59,Butler,93
2015-11-19,Towson,52,Oklahoma St.,69
2015-11-19,Mississippi St.,79,Miami (FL),105
2015-11-19,Boston College,82,Central Conn. St.,57
2015-11-19,Citadel,132,Mid-Atlantic Christ.,60
2015-11-19,William &amp; Mary,85,Washington Adventist,60
2015-11-19,Indiana,86,Creighton,65
2015-11-19,Tennessee,84,Marshall,74
